Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
929,250.   Pre­exposure prophylaxis for Rabies is given on:,"Days 0, 3, 7, 14, 28, 90       [AIPGME  96, AIPGME 98]","Days 0, 3, 7, 28, 90 
[Recent Questions 2014]","Days 0, 3","Days 0, 7, 28",,,
930,"251.   Class  II  exposure  in  animal  bites  includes  the  follow­
     [AIPGME 2003]

ing:",Scratches without oozing of blood,Licks on a fresh wound,Scratch with oozing of blood on palm,Bites from wild animals,,,
931,"252.   For the treatment of case of class III dog bite, all of the 
[Recent Question 2013]

following are correct except:",Give Immunoglobulins for passive immunity,"Give ARV 
[AIPGME 2005]",Immediately stitch wound under antibiotic coverage,Immediately wash wound with soap and water,,,
932,"253.   Which  of  the  following  statements  about  rabies  is 
FALSE?  
[DPG 2004]","Convulsions are generally not seen in a patient with 

rabies","Presence of meningitis suggests against the diagnosis 

of rabies","Intracytoplasmic  basophilic  inclusion  bodies  are 

seen in brain cells",Incubation period is approximately 20 to 80 days,,,
933,"254.   Which  of  the  following  should  be  injected  in  and 

around the wound in class III rabies bite?",Tetanus toxoid,Antibiotic solution,Anti rabies serum,None of the above,,,
934,"255.   Rabies in not found in:  

[DPG 2006]",Lakshadweep Islands,Rajasthan,Meghalaya,Orrisa,,,
935,"256.   Bite of which of the following animals do not result in 
[DPG 2007]

human rabies?",Dog,Mouse,Horse,Cat,,,
936,"259.   Number of does of Rabies HDCV vaccine required for 
[Recent Question 2013]

pre­exposure prophylaxis:",5,2,3,1,,,
937,"260.   Which virus is used to produce rabies vaccine? 

[Recent Question 2013]",Wild,Street,Fixed,Live Attenuated,,,
938,"261.   Intermediate host of Rabies is  

[Recent Question 2014]",Man,Dog,Cow,Rat,,,
939,"262.   A 10­year­old child with unprovoked Dog bite comes to 
[AIIMS PG May 2015]

you. Appropriate action is",Withhold vaccine and observe dog for 10 days,Give cell culture derived vaccine,No further action is necessary,Kill the dog and send brain for biopsy,,,
940,"263.   For the prevention of human rabies, immediate flushing 
and  washing  the  wound",2 minutes,1 minute,15 minutes,"5 minutes

Review Questions",,,
941,"264.   Rabies free country is: 

[DNB 2000]

[DPG 2006]",China,Russia,Australia,France,,,
942,"265.   Rabies free country is: 

[DNB 2004, 05]",China,Russia,Britain,France,,,
943,"266.   All  these  Rabies  vaccines  are  commercially  available 
[UP 2000]

except:",Killed sheep brain,Human diploid vaccine,Vero-continuous cell vaccine,"Recombinant glycoprotein vaccine

304

mebooksfree.com

Review of Preventive and Social Medicine",,,
944,"267.   A patients present with dogs bite in the palm fingers and  
oozing of blood on the neck regions, belongs to which 
class of the exposures:",Class I,Class II,Class III,"None

[UP 2008]",,,
945,"268.   All are true about rabies except: 

[MP 2000]",It is a DNA virus,Vaccine virus has fixed incubation period,Incubation period depends upon site of bite,"All bites on fingers with laceration are class III inju-

ries",,,
946,"269.   Nervous  tissue  Rabies  vaccines  are  usually  manufac­
[MP 2007]

tured from:",Sheep,Human diploid cell,Duck embryos,Chick embryos,,,
947,"270.   Rabies does not occur in which of the following parts of 
[MH 2003]

India?",Daman and Diu,Andaman and Nicobar Islands,Dadra and Nagar Havelli,Pondicherry,,,
948,"271.   In  the  case  of  dog  bite  the  biting  animal  should  be 
[RJ 2007]

observed for at least:",5 days,10 days,15 days,"3 weeks

YELLOW FEVER",,,
949,272.   The incubation period of yellow fever is:,3 to 6 days,3-4 weeks,1 to 2 weeks,"8-10 weeks

[AIIMS May 04]",,,
950,273.   All are features of yellow fever except:,Sub clinical cases present,Fatality rate > 90%,One attack gives life long immunity,"Hepatic and renal involvement in severe cases

[AIIMS June 1997]",,,
951,"274.   According to International Health Regulations, there is 
no risk of spread of yellow Fever if the Aedes aegypti 
index remains below:  
[AIPGME 2004]",1%,5% [Recent Question 2013],8%,l0%,,,
952,275.   All are true for Yellow Fever except:,Causative agent is Flavivirus fibricus,"Case fatality is up to 80 % 
[AIPGME 2003]","Validation  of  Vaccination  Certificate  begins  after  

10 days and lasts till 10 years",Incubation period is 16-46 days,,,
953,"276.   Vaccine of yellow fever is:  

[DPG 2006]",4D,5D,2D,17D,,,
954,277.   True about yellow fever:,I.P. is 10-14 days,Transmitted by Aedes,It is found in Asia,Incidence is increased by humidity,"It is a flavivirus

[PGI June 04]",,
955,278.   Yellow fever certificate of vaccination is valid for:,1 year,10 years,35 years,"Lifelong

[Recent Question 2012] 
[UP 2001]",,,
956,"279.   Yellow  fever  vaccination  starts  protection  after  how 
[DNB 2007]
[Recent Questions 2014]
[DNB 2001]

many days of injection:",5 day,10 days,15 days,20 days,,,
957,"280.   Which is not true about Yellow fever? 

[Recent Question 2013]",Exotic,Incubation period 2-6 days,Validity of vaccine 6 years,Live Attenuated 17 D strain vaccine,,,
958,"281.   To prevent yellow fever Aedes aegypti index should be 
[DNB December 2010]
[DNB December 2011]

less than…….",0.50%,1%,2%,5%,,,
959,"282.   Yellow fever certificate of vaccination is valid for: 

[DNB December 2010]","6 years, starting from 6 days after vaccination","10 years, starting from 10 days after vaccination","10 years, starting from 6 days after vaccination","6 years, starting from 10 days after vaccination",,,
960,283.    All are true about Yellow Fever except:,Incubation period is 3-6 days,"Validity	of	Int’l	certificate	of	Vaccination	lasts	up	

[AIIMS Nov 1999]

to 10 years",Urban form is controlled by 17 D vaccine,"Aedes aegypti index should not be more than 10% 

to ensure freedom from yellow Fever

Review Questions",,,
961,284.   Which act was passed in 20th century:,Birth and death registration act,Drug act,Epidemic disease act,"Quarantine act

[MP 2004]

mebooksfree.com

305

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,,
962,"285.   Which  if  the  following  is  the  ‘YELLOW  FEVER’  refe­
[MH 2008]

rence centre?","Haffkin’s institute, Mumbai","Central institute, kasauli","NIN, Hyderabad","AIIMS, Delhi",,,
963,"293.   Major determinant to eradication of Japanese encepha­
[RJ 2007]

litis is:",No effective vaccine,Breeding place of vector,Large no. of in apparent infections,"Numerous animal hosts

JAPANESE ENCEPHALITIS 

KFD",,,
964,"286.    All are true about Japanese Encephalitis except:  

[AIPGME 1996, Dec 98, AIIMS May 97]",Man is incidental dead-end host,Culicines and anophelines are vectors involved,Case fatality rate is over 90%,85% of cases occur in children <15 years age,,,
965,287.    True statement regarding Japanese Encephalitis is:,70% of cases are reported from infants,"Ratio of clinical apparent to non-apparent infections 

[AIPGME 2011]

is 1:100",Mosquito bite is always associated with the disease,Epidemic is declared if there are 2-3 cases in a village,,,
966,"288.    JE virus life cycle in nature run between? 

[Recent Question 2013]

294.   Which  of  these  is  NOT  useful  in  the  prevention  of 
[AIIMS May 2001]

KFD?",Vaccination,Deforestation,Prevention of roaming cattle,Personal protection,,,
967,295.    The vector for KFD is:,Aedes aegypti,Haemaphysalis,Culex,"Xenopsylla

[AIIMS May 1993]",,,
968,296.   Kyasanur forest disease in transmitted by:,Pigs-Mosquito,Cattle-Birds,Pigs-human,"Bird-Pigs

PLAGUE",,,
969,"289.    Amplifier for Japanese encephalitis: 

 297.  All are true about Plague except:",Horse,Pigs,Dogs,"Monkey

[Recent Question 2013]",,,
970,290.    Japanese encephalitis is transmitted by:,Culex,Aedes,"Mansonia 

[DNB December 2010] [DNB June 2011]
[Recent Question 2012] 
[UP 2001]",Anopheles,,,
971,"291.   Which of the following is not true regarding Japanese 
encephalitis vaccine? 
[AIIMS PG May 2015]","Booster  doses  are  given  after  1  year  and  repeated 

every 3 years",Not given for infants less than 6 months age,"Two primary doses given to children aged 1-3 years 

age","In endemic areas, vaccination is given to cover chil-

dren 1-9 years age

Review Questions",,,
972,292.    Not true about Japanese’s encephalitis is:,"Domestic rat “Rattus rattus” has been incriminated 
[AIPGME 1997]

as main reservoir",Both sexes of rat flea bite to transmit the disease,IP for bubonic plague is 1-3 days,"Infants under 6 months are not given the killed vac-

cine",,,
973,"298.    The most effective method to break transmission chain 
[AIIMS May 2002]

in plague is:",Early diagnosis and treatment,Control of fleas,Control of rodents,Vaccination,,,
974,"299.    All of the following statements about plague is wrong, 
[AIIMS May 2004]

except:",Domestic rat is the main reservoir,Bubonic is the most common variety,"The causative bacillus can survive up to 10 years in 

the soil of rodent burrows","The incubation period for pneumonic plague is one 

to two weeks",,,
975,"300.    Plague  epidemic  in  Surat  in  1995  has  occurred  after  a 
[DPG 2005]

silence period of:",18 years,20 years,28 years,"30 years

i

i

l

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

l

i

e
b
a
c
n
u
m
m
o
C

306

mebooksfree.com

Review of Preventive and Social Medicine",,,
976,301.    Maximum Explosiveness of Plague is determined by:,Total flea index,Cheopsis index,Borrow index,"Specific percentage of fleas

[DPG 2006]
[Recent Question 2013]",,,
977,"302.   Severity of spreading of plague detected by: 

[DNB December 2011]",Burrow’s index,Cheopsis index,Specific flea index,"Total flea index

Review Questions",,,
978,"303.   Cheopsis index is the:  

[AP 2003]",Average number of cheopis per rat,Average number of fleas per rat,Average number of fleas per burrow,Average number of cheopis per burrow,,,
979,304.   The highly infections clinical form of plague is:,Bubonic plague,Pneumonic plague,Septicaemic plague,"All of the above

[TN 2003]",,,
980,"305.   Dose of equine anti­rabies immunoglobulin (ERIG) is:  
[MP 2005]

 309.  It is true regarding endemic typhus that:",Man is the only reservoir of infection,"Flea is a vector of the disease 
[AIPGME 07]","The  rash  developing  into  eschar  is  a  characteristic 

presentation","Culture of the aetiological agent in tissue culture is 

diagnostic modality",,,
981,310.   Mode of transmission of Q fever is:,Bite of infected louse,Bite of infected tick,Inhalation of aerosol,"Bite of infected mite

[AIIMS May 04]
[DNB 2008]",,,
982,"311.   A  man  presents  with  fever  and  chills  2  weeks  after  a 
louse bite. There was a maculo­papular rash on the trunk  
which spread peripherally. The cause of this infection 
can be: 
[AIIMS May 2003]",Scrub typhus,Endemic typhus,Rickettsial pox,Epidemic typhus,,,
983,"312.   All of following statements are true regarding Q fever 
 [AIIMS May 2003, AIPGME 1996]

except:",It is a zoonotic infection,"Human  disease  is  characterized  by  an  interstitial 

pneumonia",No rash is seen,Weil Felix reaction is very useful for diagnosis,,,
984,"313.   R. Rickettsii causes: 

[AIPGME 1996]

[RJ 2001]
[Recent Question 2013]",20 IU per kg of body weight,10 IU per kg of body weight,40 IU per kg of body weight,30 IU per kg of body weight,,,
985,306.   Plague is transmitted by:,Hard tick,Soft tick,Rat flea,"Louse

RICKETTSIAL DISASES",,,
986,"307.   Which of the following pairs of ‘Rickettsial Diseases– 
[AIPGME 96]

Insect vectors’ is wrongly matched ?",Epidemic typhus – Louse,Scrub typhus - Flea,Rocky Mountain spotted fever - Tick,Rickettsial pox - Mite,,,
987,"308.   A  patient  complained  of  chills  and  fever  following  a 
louse bite 2 weeks before. He had rashes all over the body  
and was delirious at the time of presentation to the hospital  
and subsequently went into coma. A provisional diag­
nosis  of  vasculitis  due  to  Rickettsial  infection  was 
made. Which one of the following can be the causative 
agent? 
[AIPGME 2006]",Rickettsia typhi,Rickettsia rickettsiae,Rickettsia prowazekii,Rickettsia akari,,,
988,314.   All are true about Scrub typhus except:,Mite is a vector,Adult mite feeds on vertebral host,Caused by R. tsutsugamushi,"Tetracycline is treatment

[AIPGME 2010]",,,
989,"315.   Rickettsiae are transmitted by: 

 [PGI May 2011]",Flea,Louse,Mosquito,Mite,Fly,,
990,"316.   Epidemic typhus causes & vector: 

[Recent Question 2013, 2015]
[DNB 2010]",Rickettessia prowazki & louse,R. typhi & mite,R. conori & tick,R. akari & mite,,,
991,"317.   Vagabond disease transmitted by: 

[Recent Question 2013]",Louse,Mite,Tick,Black Fly,,,
992,"318.   Rickettsial pox is caused by: 

[DNB December 2009]",Rickettsia ricketsiae,Rickettsia akari,R. typhi,"Rickettsia conori

307

mebooksfree.com

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,,
993,319.   Endemic typhus is transmitted by:,Flea,Tick [Recent Question 2012],"Mite 

Review Questions

[DNB December 2009]","Mosquito 
[UP 2006]",,,
994,320.   Scrub typhus is transmitted by:,Flea,Mite,Tick,"Mosquito

[DNB 2006]
[Recent Question 2013]
[RJ 2000]",,,
995,"321.   R. prowazekii is transmitted by: 

[UP 2001]",Flea,Louse,Mite,Tick,,,
996,322.   Rickettsial agent of Epidemic typhus is:,R. prowazekii,R. typhi,Aldehyde Test of Napier is a good test for diagnosis,There are no drugs for personal prophylaxis,,,
997,"329.   Reservoir of Indian Kala­azar is: 

[AIIMS May 03]",Man,Rodent,Canine,Equine,,,
998,"330.   All  are  used  in  treatment  of  Visceral  Leishmaniasis 
[AIIMS Nov 2009]

except:",Sitamaquine,Paramomycin,Hydroxychloroquine,"Miltefosine

Review Questions",,,
999,"331.   Kala­azar is transmitted by:  

[TN 2005]

[UP 2005]",Phlebotomus sergenti,Phlebotomus papatasii,Phlebotomus argentipes,All of the above,,,
1000,"323.   Organism that does not need vector for transmission:  
[Kolkata 2005]",Rickettsia prowazekii,Rickettsia rickettsii,Coxiella burnetii,Borrelia recurrentis,,,yes
1001,"332.   All the following statements are true for Indian Kala­
[MP 2009]

azar except:",It is transmitted by the bite of an infected sandfly,Dog is the reservoir of infection,"The  causative  parasite  is  cultivated  in  the  NNN  

medium",,,,
1002,"324.   Trombiculid mite can transmit: 

[MP 2004]",Indian tick typhus,Scrub typhus,Relapsing fever,Q. fever,,,
1003,"325.   Arthropods are vector for all except: 

[MH 2007]",Scrub typhus,Epidemic typhus,Q-fever,Flea,,,
1004,"326.   Rash starting peripherally is a feature of: 

[RJ 2007]",Epidemic types,Endemic Typhus,Scrub typhus,Indian tick typhus,,,
1005,"327.   Rash is absent in: 

[RJ 2008]",Epidemic types,Endemic typhus,Scrub typhus,"Q-fever

LEISHMANIASIS",,,
1006,"328.   False about Leishmaniasis is: 

[AIPGME 2003]",Co-infection with AIDS is now emerging,"Indian  Leishmaniasis  is  a  non-zoonotic  infection 

with man as the sole reservoir

308",,,,,
1007,333.   Not true about Kala­Azar is:,Sandfly is the vector,Man is the only reservoir host in India,Aldehyde test is positive,"Man has flagellar stage of organism

[RJ 2007]

TRACHOMA",,,
1008,334.   SAFE strategy include all the following EXCEPT:,Screening,Antibiotics,Face washing,"Environmental improvement

[AIIMS Nov 2006]",,,
1009,"335.   True about Trachoma is: 

[AIPGME 1996]",Is a disease of high infectivity,"Prevalence of severe and moderate trachoma in > 1 %  
in  children  less  than  10  yrs  is  indication  for  mass 
treatment",Irritants like kajal or surma also predispose,Is a non-avoidable cause of blindness in India,,,
1010,"336.   For  the  field  diagnosis  of  trachoma,  the  WHO  recom­
mends  that  follicular  and  intense  trachoma  inflamma­
tion should be assessed in:  
[AIIMS May 2003]",Women aged 15-45 years,Population of 10 to 28 year range,Children aged 0-10 years,"Population above 25 years of age irrespective of sex

i

i

l

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

l

i

e
b
a
c
n
u
m
m
o
C

mebooksfree.com

Review of Preventive and Social Medicine",,,
